,行政区划代码,长江经济带,经度,纬度,年份,地区,日照时数,数据来源
0,110000,0,116.407526,39.904030,1960,北京市,2747.713510364921,
1,120000,0,117.200983,39.084158,1960,天津市,2825.010393355455,
2,130000,0,114.468664,38.037057,1960,河北省,2698.490366765091,
3,140000,0,112.562398,37.873531,1960,山西省,2632.413635608117,
4,150000,0,111.765617,40.817498,1960,内蒙古自治区,2940.924143401875,
5,210000,0,123.429440,41.835441,1960,辽宁省,2545.822029870022,
6,220000,0,125.325990,43.896536,1960,吉林省,2459.453749312901,
7,230000,0,126.661669,45.742347,1960,黑龙江省,2515.281476173093,
8,310000,1,121.473701,31.230416,1960,上海市,2030.128708388081,
9,320000,1,118.763232,32.061707,1960,江苏省,2132.552906929393,
10,330000,1,120.152791,30.267446,1960,浙江省,1871.957387149391,
11,340000,1,117.284922,31.861184,1960,安徽省,2099.785569954994,
12,350000,0,119.295144,26.100779,1960,福建省,1909.575093384141,
13,360000,1,115.909228,28.675696,1960,江西省,1871.077391656459,
14,370000,0,117.020359,36.668530,1960,山东省,2525.624560454633,
15,410000,0,113.753602,34.765515,1960,河南省,2255.526792500923,
16,420000,1,114.341861,30.546498,1960,湖北省,1885.067653418661,
17,430000,1,112.983810,28.112444,1960,湖南省,1550.268393236375,
18,440000,0,113.266530,23.132191,1960,广东省,1808.984387652259,
19,450000,0,108.327546,22.815478,1960,广西壮族自治区,1611.658709656882,
20,460000,0,110.349228,20.017377,1960,海南省,2006.719958986858,
21,500000,1,106.551556,29.563009,1960,重庆市,1216.829158703837,
22,510000,1,104.075931,30.651651,1960,四川省,1431.063784803742,
23,520000,1,106.707410,26.598194,1960,贵州省,1296.455688791936,
24,530000,1,102.710002,25.045806,1960,云南省,2142.455350437118,
25,540000,0,91.117212,29.646922,1960,西藏自治区,2827.239027623852,
26,610000,0,108.954239,34.265472,1960,陕西省,2142.033914069535,
27,620000,0,103.826308,36.059421,1960,甘肃省,2454.724205341676,
28,630000,0,101.780199,36.620901,1960,青海省,2676.989591234635,
29,640000,0,106.258754,38.471317,1960,宁夏回族自治区,2742.486961866149,
30,650000,0,87.627704,43.793026,1960,新疆维吾尔自治区,2744.984639955898,
